gps_data_flag,registration_number,horse_name,pp_track,pp_race_date,pp_race_number,pp_country,race_type,grade,distance_id,distance_unit,about_distance_indicator,distance,surface,post_position,position_at_point_of_call_1,position_at_point_of_call_2,position_at_point_of_call_3,position_at_point_of_call_4,position_at_point_of_call_5,official_position,length_behind_at_poc_1,length_behind_at_poc_2,length_behind_at_poc_3,length_behind_at_poc_4,length_behind_at_poc_5,length_behind_at_finish,length_ahead_at_poc_1,length_ahead_at_poc_2,length_ahead_at_poc_3,length_ahead_at_poc_4,length_ahead_at_poc_5,length_ahead_at_finish,post_time_odds,field_size,purse,is_about_distance,is_graded_race,has_gps_data,distance_furlongs,distance_meters_expected,distance_label,is_nonstandard_distance,pp_race_key
X,16012148,Bold Endeavor,BAQ,2025-09-18,6,USA,CLM,,9.0,F,,1 1/8M,D,2,3.0,4.0,4.0,,4.0,4,200.0,310.0,300.0,0.0,400.0,280.0,150.0,450.0,350.0,0.0,200.0,25.0,32,8,32000,0,0,1,9.0,1810.5120000000002,1 1/8M,0,16012148|BAQ|2025-09-18|6
X,16012148,Bold Endeavor,SAR,2025-08-22,4,USA,CLM,,8.0,F,,1M,D,4,3.0,4.0,4.0,,6.0,5,300.0,260.0,750.0,0.0,950.0,925.0,10.0,10.0,100.0,0.0,450.0,5.0,27,8,34000,0,0,1,8.0,1609.344,1M,0,16012148|SAR|2025-08-22|4
,16013161,Gun It,PRX,2025-11-25,4,USA,CLM,,6.0,F,,6F,D,4,1.0,1.0,,,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,200.0,150.0,14,8,28000,0,0,0,6.0,1207.008,6F,0,16013161|PRX|2025-11-25|4
,16013161,Gun It,PRX,2025-10-28,3,USA,CLM,,6.0,F,,6F,D,3,2.0,3.0,,,3.0,3,50.0,250.0,0.0,0.0,400.0,575.0,10.0,300.0,0.0,0.0,500.0,550.0,18,5,32000,0,0,0,6.0,1207.008,6F,0,16013161|PRX|2025-10-28|3
X,16013161,Gun It,SAR,2025-07-06,1,USA,AOC,,6.0,F,,6F,D,2,2.0,3.0,,,3.0,4,150.0,400.0,0.0,0.0,750.0,925.0,10.0,250.0,0.0,0.0,50.0,200.0,47,5,110000,0,0,1,6.0,1207.008,6F,0,16013161|SAR|2025-07-06|1
,16022898,Black Candy,MNR,2025-11-25,7,USA,AOC,,6.0,F,,6F,D,1,6.0,5.0,,,6.0,5,560.0,260.0,0.0,0.0,410.0,580.0,500.0,10.0,0.0,0.0,200.0,350.0,64,7,20000,0,0,0,6.0,1207.008,6F,0,16022898|MNR|2025-11-25|7
,16022898,Black Candy,MNR,2025-11-04,5,USA,AOC,,5.0,F,,5F,D,6,4.0,3.0,,,2.0,1,610.0,450.0,0.0,0.0,400.0,0.0,10.0,10.0,0.0,0.0,50.0,50.0,31,6,20000,0,0,0,5.0,1005.84,5F,0,16022898|MNR|2025-11-04|5
,16022898,Black Candy,MNR,2025-10-19,6,USA,AOC,,6.0,F,,6F,D,5,4.0,2.0,,,2.0,3,500.0,250.0,0.0,0.0,100.0,150.0,100.0,10.0,0.0,0.0,10.0,150.0,71,5,20000,0,0,0,6.0,1207.008,6F,0,16022898|MNR|2025-10-19|6
,17000068,Genghis,PEN,2025-12-19,3,USA,CLM,,6.0,F,,6F,D,7,8.0,6.0,,,4.0,3,500.0,310.0,0.0,0.0,400.0,500.0,600.0,100.0,0.0,0.0,10.0,10.0,162,10,14000,0,0,0,6.0,1207.008,6F,0,17000068|PEN|2025-12-19|3
,17000068,Genghis,CT,2025-12-06,8,USA,CLM,,6.5,F,,6 1/2F,D,7,7.0,7.0,,,7.0,6,600.0,660.0,0.0,0.0,620.0,1525.0,100.0,150.0,0.0,0.0,50.0,25.0,33,8,14600,0,0,0,6.5,1307.592,6 1/2F,0,17000068|CT|2025-12-06|8
,17000068,Genghis,CT,2025-11-14,5,USA,CLM,,7.0,F,,7F,D,4,3.0,3.0,,,3.0,3,300.0,400.0,0.0,0.0,400.0,175.0,50.0,200.0,0.0,0.0,400.0,575.0,10,7,14600,0,0,0,7.0,1408.176,7F,0,17000068|CT|2025-11-14|5
X,17001959,Monday Morning Qb,LRL,2025-11-29,9,USA,SOC,,6.0,F,,6F,D,4,5.0,3.0,,,3.0,4,350.0,650.0,0.0,0.0,310.0,875.0,10.0,100.0,0.0,0.0,50.0,225.0,38,8,30435,0,0,1,6.0,1207.008,6F,0,17001959|LRL|2025-11-29|9
X,17001959,Monday Morning Qb,LRL,2025-11-09,8,USA,SOC,,6.0,F,,6F,D,1,6.0,6.0,,,4.0,2,550.0,460.0,0.0,0.0,70.0,50.0,50.0,100.0,0.0,0.0,10.0,50.0,57,7,32980,0,0,1,6.0,1207.008,6F,0,17001959|LRL|2025-11-09|8
,17001959,Monday Morning Qb,CT,2025-10-16,7,USA,AOC,,6.5,F,,6 1/2F,D,1,4.0,4.0,,,4.0,4,400.0,70.0,0.0,0.0,260.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,51,4,34000,0,0,0,6.5,1307.592,6 1/2F,0,17001959|CT|2025-10-16|7
,17003226,Rob the Rich,PEN,2025-12-05,2,USA,CLM,,8.5,F,,1 1/16M,D,4,7.0,6.0,6.0,,3.0,1,770.0,660.0,310.0,0.0,110.0,0.0,0.0,100.0,300.0,0.0,100.0,100.0,20,7,18000,0,0,0,8.5,1709.928,1 1/16M,0,17003226|PEN|2025-12-05|2
,17003226,Rob the Rich,PRX,2025-11-12,5,USA,CLM,,8.32,F,,1M 70Y,D,2,1.0,1.0,1.0,,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,150.0,0.0,150.0,150.0,7,3,20000,0,0,0,8.32,1673.71776,1M 70Y,1,17003226|PRX|2025-11-12|5
,17003226,Rob the Rich,PEN,2025-10-22,4,USA,CLM,,8.5,F,,1 1/16M,D,5,2.0,2.0,1.0,,1.0,1,200.0,50.0,0.0,0.0,0.0,0.0,10.0,100.0,50.0,0.0,500.0,625.0,17,7,12000,0,0,0,8.5,1709.928,1 1/16M,0,17003226|PEN|2025-10-22|4
X,17004170,Mr. Hustle,LRL,2025-11-29,2,USA,CLM,,8.5,F,,1 1/16M,D,6,5.0,4.0,2.0,,2.0,3,270.0,160.0,450.0,0.0,450.0,830.0,200.0,100.0,100.0,0.0,100.0,500.0,34,8,19140,0,0,1,8.5,1709.928,1 1/16M,0,17004170|LRL|2025-11-29|2
X,17004170,Mr. Hustle,LRL,2025-11-08,4,USA,CLM,,8.5,F,,1 1/16M,D,7,5.0,4.0,4.0,,5.0,6,610.0,400.0,500.0,0.0,610.0,645.0,10.0,10.0,200.0,0.0,100.0,375.0,50,9,19640,0,0,1,8.5,1709.928,1 1/16M,0,17004170|LRL|2025-11-08|4
,17004170,Mr. Hustle,PRX,2025-10-21,6,USA,CLM,,8.32,F,,1M 70Y,D,6,4.0,4.0,4.0,,2.0,2,160.0,600.0,560.0,0.0,500.0,650.0,100.0,10.0,10.0,0.0,10.0,10.0,41,6,20000,0,0,0,8.32,1673.71776,1M 70Y,1,17004170|PRX|2025-10-21|6
X,17007087,Magic Mule,LRL,2026-01-09,9,USA,AOC,,6.0,F,,6F,D,1,6.0,6.0,,,6.0,6,820.0,860.0,0.0,0.0,1010.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,625,6,57770,0,0,1,6.0,1207.008,6F,0,17007087|LRL|2026-01-09|9
X,17007087,Magic Mule,LRL,2025-12-21,7,USA,AOC,,8.0,F,,1M,D,2,2.0,1.0,1.0,,6.0,7,100.0,0.0,0.0,0.0,660.0,1375.0,10.0,10.0,50.0,0.0,450.0,450.0,762,8,54000,0,0,1,8.0,1609.344,1M,0,17007087|LRL|2025-12-21|7
X,17007087,Magic Mule,LRL,2025-12-13,7,USA,AOC,,6.0,F,,6F,D,6,6.0,5.0,,,5.0,5,650.0,700.0,0.0,0.0,800.0,850.0,0.0,100.0,0.0,0.0,250.0,750.0,282,6,53795,0,0,1,6.0,1207.008,6F,0,17007087|LRL|2025-12-13|7
X,17007087,Magic Mule,LRL,2025-10-26,10,USA,AOC,,7.0,F,,7F,D,3,8.0,8.0,,,5.0,4,880.0,380.0,0.0,0.0,610.0,455.0,0.0,0.0,0.0,0.0,10.0,125.0,600,8,54000,0,0,1,7.0,1408.176,7F,0,17007087|LRL|2025-10-26|10
,17007087,Magic Mule,DEL,2025-07-18,7,USA,AOC,,5.5,F,,5 1/2F,D,1,5.0,4.0,,,4.0,4,300.0,300.0,0.0,0.0,450.0,460.0,0.0,10.0,0.0,0.0,10.0,50.0,311,5,47000,0,0,0,5.5,1106.424,5 1/2F,0,17007087|DEL|2025-07-18|7
X,17007087,Magic Mule,LRL,2025-06-13,8,USA,AOC,,8.0,F,,1M,D,3,6.0,6.0,6.0,,5.0,5,270.0,660.0,810.0,0.0,1310.0,1650.0,0.0,0.0,0.0,0.0,50.0,50.0,343,6,53795,0,0,1,8.0,1609.344,1M,0,17007087|LRL|2025-06-13|8
,17011271,Gangly,PEN,2025-12-19,3,USA,CLM,,6.0,F,,6F,D,2,7.0,5.0,,,5.0,4,450.0,300.0,0.0,0.0,410.0,510.0,50.0,10.0,0.0,0.0,50.0,225.0,57,10,14000,0,0,0,6.0,1207.008,6F,0,17011271|PEN|2025-12-19|3
,17011271,Gangly,PEN,2025-11-28,1,USA,CLM,,8.32,F,,1M 70Y,D,4,2.0,1.0,1.0,,1.0,1,10.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,10.0,0.0,150.0,225.0,20,6,13000,0,0,0,8.32,1673.71776,1M 70Y,1,17011271|PEN|2025-11-28|1
,17011271,Gangly,PEN,2025-11-05,2,USA,CLM,,8.0,F,,1M,D,7,4.0,5.0,3.0,,3.0,2,200.0,300.0,350.0,0.0,500.0,425.0,50.0,50.0,100.0,0.0,250.0,50.0,91,9,13000,0,0,0,8.0,1609.344,1M,0,17011271|PEN|2025-11-05|2
X,17011275,Prince Khozan,LRL,2025-12-28,8,USA,CLM,,9.0,F,,1 1/8M,D,1,1.0,1.0,1.0,,2.0,2,0.0,0.0,0.0,0.0,200.0,450.0,100.0,50.0,10.0,0.0,450.0,650.0,59,6,18410,0,0,1,9.0,1810.5120000000002,1 1/8M,0,17011275|LRL|2025-12-28|8
X,17011275,Prince Khozan,LRL,2025-12-14,1,USA,CLM,,8.5,F,,1 1/16M,D,1,3.0,3.0,3.0,,2.0,2,810.0,1050.0,450.0,0.0,500.0,600.0,10.0,200.0,300.0,0.0,100.0,750.0,427,7,22400,0,0,1,8.5,1709.928,1 1/16M,0,17011275|LRL|2025-12-14|1
X,17011275,Prince Khozan,LRL,2025-06-27,1,USA,SOC,,8.5,F,,1 1/16M,T,7,7.0,7.0,7.0,,5.0,5,660.0,430.0,480.0,0.0,660.0,430.0,0.0,0.0,0.0,0.0,100.0,225.0,49,7,24660,0,0,1,8.5,1709.928,1 1/16M,0,17011275|LRL|2025-06-27|1
X,17011275,Prince Khozan,LRL,2025-05-25,8,USA,SOC,,8.5,F,,1 1/16M,T,1,5.0,5.0,5.0,,3.0,4,560.0,600.0,410.0,0.0,460.0,230.0,100.0,150.0,200.0,0.0,10.0,25.0,160,10,30635,0,0,1,8.5,1709.928,1 1/16M,0,17011275|LRL|2025-05-25|8
X,17011275,Prince Khozan,PIM,2025-05-10,7,USA,SOC,,9.0,F,,1 1/8M,T,1,9.0,9.0,8.0,,7.0,3,1180.0,1360.0,760.0,0.0,470.0,335.0,250.0,200.0,100.0,0.0,10.0,10.0,118,10,82950,0,0,1,9.0,1810.5120000000002,1 1/8M,0,17011275|PIM|2025-05-10|7
X,17017015,Karan's Notion,LRL,2025-12-21,8,USA,AOC,,5.5,F,,5 1/2F,D,5,7.0,6.0,,,6.0,7,760.0,600.0,0.0,0.0,630.0,940.0,200.0,50.0,0.0,0.0,50.0,700.0,219,8,57000,0,0,1,5.5,1106.424,5 1/2F,0,17017015|LRL|2025-12-21|8
X,17017015,Karan's Notion,LRL,2025-11-28,8,USA,AOC,,6.0,F,,6F,D,2,3.0,3.0,,,4.0,4,300.0,160.0,0.0,0.0,260.0,40.0,10.0,10.0,0.0,0.0,10.0,125.0,97,6,61040,0,0,1,6.0,1207.008,6F,0,17017015|LRL|2025-11-28|8
X,17017015,Karan's Notion,LRL,2025-10-19,10,USA,AOC,,6.0,F,,6F,D,2,7.0,7.0,,,7.0,4,1260.0,960.0,0.0,0.0,860.0,675.0,0.0,0.0,0.0,0.0,0.0,75.0,304,7,56500,0,0,1,6.0,1207.008,6F,0,17017015|LRL|2025-10-19|10
,17017015,Karan's Notion,DEL,2025-10-08,5,USA,SOC,,6.0,F,,6F,D,3,6.0,4.0,,,4.0,4,410.0,310.0,0.0,0.0,160.0,250.0,500.0,10.0,0.0,0.0,50.0,50.0,131,7,32000,0,0,0,6.0,1207.008,6F,0,17017015|DEL|2025-10-08|5
X,17020018,Self Taught,LRL,2025-12-12,6,USA,SOC,,7.0,F,,7F,D,4,8.0,7.0,,,4.0,3,920.0,910.0,0.0,0.0,650.0,300.0,0.0,50.0,0.0,0.0,150.0,50.0,70,8,25020,0,0,1,7.0,1408.176,7F,0,17020018|LRL|2025-12-12|6
X,17020018,Self Taught,LRL,2025-11-29,5,USA,SOC,,8.5,F,,1 1/16M,D,9,5.0,5.0,2.0,,2.0,5,410.0,470.0,150.0,0.0,250.0,525.0,50.0,350.0,10.0,0.0,100.0,25.0,393,9,31370,0,0,1,8.5,1709.928,1 1/16M,0,17020018|LRL|2025-11-29|5
X,17020018,Self Taught,LRL,2025-11-01,7,USA,SOC,,8.0,F,,1M,D,10,8.0,6.0,3.0,,4.0,6,510.0,810.0,450.0,0.0,500.0,550.0,150.0,100.0,10.0,0.0,10.0,200.0,94,10,26020,0,0,1,8.0,1609.344,1M,0,17020018|LRL|2025-11-01|7
X,17020018,Self Taught,LRL,2025-10-12,8,USA,SOC,,7.0,F,,7F,D,4,6.0,6.0,,,6.0,6,1010.0,660.0,0.0,0.0,1010.0,1475.0,10.0,200.0,0.0,0.0,200.0,950.0,52,7,29500,0,0,1,7.0,1408.176,7F,0,17020018|LRL|2025-10-12|8
,18001544,It's Sizzling Time,CT,2025-12-04,6,USA,SOC,,4.5,F,,4 1/2F,D,7,7.0,,,,5.0,3,470.0,0.0,0.0,0.0,270.0,500.0,0.0,0.0,0.0,0.0,10.0,100.0,143,7,22700,0,0,0,4.5,905.2560000000001,4 1/2F,0,18001544|CT|2025-12-04|6
X,18001544,It's Sizzling Time,LRL,2025-11-07,4,USA,CLM,,6.0,F,,6F,D,5,3.0,3.0,,,3.0,2,450.0,550.0,0.0,0.0,500.0,725.0,100.0,10.0,0.0,0.0,300.0,475.0,38,8,20760,0,0,1,6.0,1207.008,6F,0,18001544|LRL|2025-11-07|4
X,18001544,It's Sizzling Time,LRL,2025-09-21,4,USA,SOC,,8.5,F,,1 1/16M,D,2,7.0,6.0,4.0,,4.0,6,1310.0,910.0,500.0,0.0,210.0,1130.0,0.0,10.0,10.0,0.0,200.0,950.0,137,7,30370,0,0,1,8.5,1709.928,1 1/16M,0,18001544|LRL|2025-09-21|4
X,18001931,The Wolfman,LRL,2025-12-12,8,USA,CLM,,6.0,F,,6F,D,5,4.0,3.0,,,1.0,2,350.0,110.0,0.0,0.0,0.0,100.0,200.0,250.0,0.0,0.0,150.0,125.0,29,6,20700,0,0,1,6.0,1207.008,6F,0,18001931|LRL|2025-12-12|8
X,18001931,The Wolfman,LRL,2025-11-21,2,USA,SOC,,6.0,F,,6F,D,5,4.0,4.0,,,6.0,6,510.0,650.0,0.0,0.0,810.0,305.0,300.0,50.0,0.0,0.0,50.0,50.0,310,9,25520,0,0,1,6.0,1207.008,6F,0,18001931|LRL|2025-11-21|2
X,18001931,The Wolfman,LRL,2025-10-26,2,USA,CLM,,6.0,F,,6F,D,3,2.0,2.0,,,3.0,5,150.0,200.0,0.0,0.0,510.0,825.0,150.0,100.0,0.0,0.0,250.0,925.0,36,6,20300,0,0,1,6.0,1207.008,6F,0,18001931|LRL|2025-10-26|2
X,18001931,The Wolfman,LRL,2025-10-11,3,USA,SHP,,7.0,F,,7F,D,11,4.0,4.0,,,7.0,8,600.0,500.0,0.0,0.0,520.0,950.0,100.0,250.0,0.0,0.0,400.0,50.0,163,11,40800,0,0,1,7.0,1408.176,7F,0,18001931|LRL|2025-10-11|3
,18001954,Spotted Bull,PRX,2025-12-31,10,USA,SOC,,6.5,F,,6 1/2F,D,12,13.0,12.0,,,11.0,11,850.0,980.0,0.0,0.0,1620.0,2705.0,0.0,100.0,0.0,0.0,50.0,100.0,650,13,50000,0,0,0,6.5,1307.592,6 1/2F,0,18001954|PRX|2025-12-31|10
,18001954,Spotted Bull,PEN,2025-12-11,6,USA,SOC,,6.0,F,,6F,D,2,7.0,5.0,,,3.0,3,460.0,120.0,0.0,0.0,150.0,150.0,100.0,50.0,0.0,0.0,10.0,75.0,276,8,23000,0,0,0,6.0,1207.008,6F,0,18001954|PEN|2025-12-11|6
X,18001954,Spotted Bull,CD,2025-11-15,4,USA,STR,,6.0,F,,6F,D,3,8.0,8.0,,,7.0,6,650.0,870.0,0.0,0.0,950.0,1085.0,0.0,0.0,0.0,0.0,10.0,275.0,860,8,100000,0,0,1,6.0,1207.008,6F,0,18001954|CD|2025-11-15|4
X,18003394,Fan Club,LRL,2025-12-13,2,USA,SOC,,9.0,F,,1 1/8M,D,2,3.0,3.0,3.0,,1.0,1,300.0,150.0,300.0,0.0,0.0,0.0,550.0,50.0,450.0,0.0,10.0,50.0,47,5,24000,0,0,1,9.0,1810.5120000000002,1 1/8M,0,18003394|LRL|2025-12-13|2
X,18003394,Fan Club,LRL,2025-11-23,7,USA,SOC,,8.0,F,,1M,D,8,6.0,7.0,8.0,,8.0,7,710.0,810.0,1310.0,0.0,1610.0,1900.0,50.0,50.0,150.0,0.0,1000.0,50.0,216,10,39055,0,0,1,8.0,1609.344,1M,0,18003394|LRL|2025-11-23|7
X,18003394,Fan Club,LRL,2025-11-09,4,USA,SOC,,8.5,F,,1 1/16M,D,5,5.0,6.0,5.0,,5.0,1,410.0,460.0,650.0,0.0,170.0,0.0,50.0,200.0,150.0,0.0,50.0,50.0,180,8,30000,0,0,1,8.5,1709.928,1 1/16M,0,18003394|LRL|2025-11-09|4
X,18003394,Fan Club,LRL,2025-05-25,6,USA,SOC,,8.0,F,,1M,D,6,7.0,6.0,6.0,,6.0,6,330.0,560.0,1060.0,0.0,1160.0,725.0,100.0,100.0,300.0,0.0,250.0,75.0,64,8,32645,0,0,1,8.0,1609.344,1M,0,18003394|LRL|2025-05-25|6
,18003479,What Does It Take,PEN,2025-11-13,1,USA,CLM,,8.32,F,,1M 70Y,D,4,2.0,2.0,1.0,,2.0,2,50.0,50.0,0.0,0.0,300.0,900.0,150.0,100.0,50.0,0.0,500.0,375.0,15,7,18000,0,0,0,8.32,1673.71776,1M 70Y,1,18003479|PEN|2025-11-13|1
,18003479,What Does It Take,PEN,2025-11-05,2,USA,CLM,,8.0,F,,1M,D,6,1.0,1.0,1.0,,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0,150.0,0.0,300.0,425.0,31,9,13000,0,0,0,8.0,1609.344,1M,0,18003479|PEN|2025-11-05|2
,18003479,What Does It Take,PRX,2025-06-02,5,USA,CLM,,8.5,F,,1 1/16M,D,3,2.0,3.0,4.0,,4.0,5,100.0,310.0,360.0,0.0,900.0,1050.0,10.0,200.0,300.0,0.0,250.0,350.0,41,6,26000,0,0,0,8.5,1709.928,1 1/16M,0,18003479|PRX|2025-06-02|5
X,18005570,Tenebris,LRL,2026-01-09,9,USA,AOC,,6.0,F,,6F,D,2,1.0,1.0,,,1.0,2,0.0,0.0,0.0,0.0,0.0,50.0,200.0,200.0,0.0,0.0,200.0,375.0,119,6,57770,0,0,1,6.0,1207.008,6F,0,18005570|LRL|2026-01-09|9
X,18005570,Tenebris,LRL,2025-12-13,7,USA,AOC,,6.0,F,,6F,D,4,3.0,2.0,,,2.0,2,200.0,150.0,0.0,0.0,250.0,375.0,150.0,50.0,0.0,0.0,100.0,325.0,149,6,53795,0,0,1,6.0,1207.008,6F,0,18005570|LRL|2025-12-13|7
X,18005570,Tenebris,LRL,2025-11-27,7,USA,AOC,,6.0,F,,6F,D,7,6.0,6.0,,,5.0,6,520.0,760.0,0.0,0.0,910.0,1900.0,100.0,150.0,0.0,0.0,50.0,75.0,95,8,55590,0,0,1,6.0,1207.008,6F,0,18005570|LRL|2025-11-27|7
X,18005570,Tenebris,CNL,2025-09-05,3,USA,AOC,,6.5,F,,6 1/2F,D,4,1.0,2.0,,,1.0,4,0.0,10.0,0.0,0.0,0.0,230.0,10.0,50.0,0.0,0.0,50.0,475.0,57,6,74000,0,0,1,6.5,1307.592,6 1/2F,0,18005570|CNL|2025-09-05|3
X,18005570,Tenebris,LRL,2025-03-29,8,USA,AOC,,5.5,F,,5 1/2F,D,2,7.0,6.0,,,7.0,7,480.0,500.0,0.0,0.0,820.0,1075.0,0.0,10.0,0.0,0.0,0.0,0.0,49,7,58865,0,0,1,5.5,1106.424,5 1/2F,0,18005570|LRL|2025-03-29|8
,18006157,Ocala Dream,PEN,2025-11-28,8,USA,CLM,,8.0,F,,1M,D,2,3.0,3.0,4.0,,7.0,8,110.0,150.0,250.0,0.0,800.0,1060.0,10.0,10.0,150.0,0.0,150.0,0.0,80,9,22000,0,0,0,8.0,1609.344,1M,0,18006157|PEN|2025-11-28|8
,18006157,Ocala Dream,PEN,2025-11-05,5,USA,CLM,,8.32,F,,1M 70Y,D,10,1.0,1.0,1.0,,2.0,5,0.0,0.0,0.0,0.0,10.0,425.0,50.0,100.0,50.0,0.0,100.0,275.0,20,10,22000,0,0,0,8.32,1673.71776,1M 70Y,1,18006157|PEN|2025-11-05|5
,18006157,Ocala Dream,PEN,2025-10-22,7,USA,CLM,,8.0,F,,1M,D,5,4.0,2.0,1.0,,1.0,2,170.0,50.0,0.0,0.0,0.0,10.0,250.0,100.0,10.0,0.0,150.0,475.0,24,8,18000,0,0,0,8.0,1609.344,1M,0,18006157|PEN|2025-10-22|7
X,18006720,Talklessworkmore,LRL,2025-12-26,5,USA,SOC,,8.0,F,,1M,D,5,1.0,1.0,1.0,,3.0,4,0.0,0.0,0.0,0.0,160.0,460.0,200.0,200.0,10.0,0.0,10.0,225.0,104,9,33110,0,0,1,8.0,1609.344,1M,0,18006720|LRL|2025-12-26|5
X,18006720,Talklessworkmore,LRL,2025-12-07,4,USA,SOC,,6.0,F,,6F,D,2,7.0,4.0,,,4.0,4,560.0,550.0,0.0,0.0,650.0,925.0,0.0,200.0,0.0,0.0,300.0,550.0,81,7,40830,0,0,1,6.0,1207.008,6F,0,18006720|LRL|2025-12-07|4
X,18006720,Talklessworkmore,LRL,2025-11-09,4,USA,SOC,,8.5,F,,1 1/16M,D,6,1.0,1.0,1.0,,3.0,3,0.0,0.0,0.0,0.0,20.0,150.0,200.0,200.0,50.0,0.0,100.0,50.0,32,8,30000,0,0,1,8.5,1709.928,1 1/16M,0,18006720|LRL|2025-11-09|4
,18006720,Talklessworkmore,MED,2025-10-03,5,USA,SOC,,8.5,F,,1 1/16M,T,2,1.0,1.0,1.0,,1.0,3,0.0,0.0,0.0,0.0,0.0,125.0,50.0,100.0,50.0,0.0,50.0,75.0,29,7,23000,0,0,0,8.5,1709.928,1 1/16M,0,18006720|MED|2025-10-03|5
